temperature | 61 | 18:39:45 
temperature | 61 | 18:39:46 
temperature | 70 | 18:39:47 
temperature | 91 | 18:39:48 
temperature | 59 | 18:39:49 
temperature | 30 | 18:39:50 
temperature | 64 | 18:39:51 
temperature | 98 | 18:39:52 
temperature | 96 | 18:39:53 
temperature | 42 | 18:39:54 
temperature | 85 | 18:39:55 
temperature | 93 | 18:39:56 
temperature | 71 | 18:39:57 
temperature | 33 | 18:39:58 
temperature | 36 | 18:39:59 
temperature | 93 | 18:40:00 
temperature | 87 | 18:40:01 
temperature | 91 | 18:40:02 
temperature | 65 | 18:40:03 
temperature | 21 | 18:40:04 
temperature | 44 | 23:58:41 
temperature | 44 | 23:58:42 
temperature | 42 | 23:58:43 
temperature | 27 | 23:58:44 
temperature | 77 | 23:58:45 
temperature | 64 | 23:58:46 
temperature | 63 | 23:58:47 
temperature | 66 | 23:58:48 
temperature | 7 | 23:58:49 
temperature | 88 | 23:58:50 
temperature | 78 | 23:58:51 
temperature | 6 | 23:58:52 
temperature | 80 | 23:58:53 
temperature | 81 | 23:58:54 
temperature | 38 | 23:58:55 
temperature | 78 | 23:58:56 
temperature | 90 | 23:58:57 
temperature | 71 | 23:58:58 
temperature | 36 | 23:58:59 
temperature | 30 | 23:59:00 
temperature | 75 | 02:05:14 
temperature | 75 | 02:05:15 
temperature | 61 | 02:05:16 
temperature | 89 | 02:05:17 
temperature | 83 | 02:05:18 
temperature | 82 | 02:05:19 
temperature | 80 | 02:05:20 
temperature | 96 | 02:05:21 
temperature | 5 | 02:05:22 
temperature | 42 | 02:05:23 
temperature | 41 | 02:05:24 
temperature | 32 | 02:05:25 
temperature | 9 | 02:05:26 
temperature | 9 | 02:05:27 
temperature | 55 | 02:05:28 
temperature | 51 | 02:05:29 
temperature | 93 | 02:05:30 
temperature | 71 | 02:05:31 
temperature | 13 | 02:05:32 
temperature | 85 | 02:05:33 
temperature | 19 | 03:34:18 
temperature | 19 | 03:34:19 
temperature | 33 | 03:34:20 
temperature | 90 | 03:34:21 
temperature | 43 | 03:34:22 
temperature | 66 | 03:34:23 
temperature | 77 | 03:34:24 
temperature | 97 | 03:34:25 
temperature | 62 | 03:34:26 
temperature | 96 | 03:34:27 
temperature | 7 | 03:34:28 
temperature | 16 | 03:34:29 
temperature | 70 | 03:34:30 
temperature | 51 | 03:34:31 
temperature | 57 | 03:34:32 
temperature | 80 | 03:34:33 
temperature | 76 | 03:34:34 
temperature | 97 | 03:34:35 
temperature | 27 | 03:34:36 
temperature | 70 | 03:34:37 
temperature | 91 | 06:18:46 
temperature | 75 | 06:18:47 
temperature | 9 | 06:18:48 
temperature | 18 | 06:18:49 
temperature | 63 | 06:18:50 
temperature | 79 | 06:18:51 
temperature | 96 | 06:18:52 
temperature | 81 | 06:18:53 
temperature | 81 | 06:18:54 
temperature | 98 | 06:18:55 
temperature | 76 | 06:18:56 
temperature | 67 | 06:18:57 
temperature | 58 | 06:18:58 
temperature | 94 | 06:18:59 
temperature | 12 | 06:19:00 
temperature | 44 | 06:19:01 
temperature | 61 | 06:19:02 
temperature | 36 | 06:19:03 
temperature | 67 | 06:19:04 
temperature | 6 | 06:19:05 
temperature | 26 | 06:21:14 
temperature | 5 | 06:21:16 
temperature | 65 | 06:21:17 
temperature | 12 | 06:21:18 
temperature | 76 | 06:21:19 
temperature | 51 | 06:21:20 
temperature | 1 | 06:21:21 
temperature | 9 | 06:21:22 
temperature | 22 | 06:21:23 
temperature | 23 | 06:21:24 
temperature | 78 | 06:21:25 
temperature | 94 | 06:21:26 
temperature | 46 | 06:21:27 
temperature | 78 | 06:21:28 
temperature | 69 | 06:21:29 
temperature | 49 | 06:21:30 
temperature | 88 | 06:21:31 
temperature | 17 | 06:21:32 
temperature | 46 | 06:21:33 
temperature | 59 | 06:21:34 
temperature | 61 | 06:24:35 
temperature | 5 | 06:24:36 
temperature | 13 | 06:24:37 
temperature | 64 | 06:24:38 
temperature | 15 | 06:24:39 
temperature | 5 | 06:24:40 
temperature | 64 | 06:24:41 
temperature | 68 | 06:24:42 
temperature | 98 | 06:24:43 
temperature | 89 | 06:24:44 
temperature | 76 | 06:24:45 
temperature | 87 | 06:24:46 
temperature | 84 | 06:24:47 
temperature | 25 | 06:24:48 
temperature | 38 | 06:24:49 
temperature | 17 | 06:24:50 
temperature | 49 | 06:24:51 
temperature | 2 | 06:24:52 
temperature | 92 | 06:24:53 
temperature | 39 | 06:24:54 
